symbol,n,value
A3,38,0.48996326684539043
A3,39,0.4835549375917962
A3,40,0.4773917320931852
A3,41,0.4714584068921977
A3,42,0.46574101384860433
A3,43,0.4602267619337679
A3,44,0.4549038966356007
A3,45,0.44976159438140595
A3,46,0.4447898698167383
A3,47,0.4399794941298104
A3,48,0.43532192289900024
A3,49,0.43080923217815403
A3,50,0.42643406173052356
A3,51,0.42218956448505135
A3,52,0.41806936142452944
A3,53,0.41406750122882285
A3,54,0.4101784240918515
A3,55,0.40639692921150566
A3,56,0.4027181455197885
A3,57,0.39913750527823616
A3,58,0.39565072021288716
A3,59,0.39225375990504907
A3,60,0.38894283219009257
A3,61,0.3857143653473854
A3,62,0.382564991891064
A3,63,0.379491533794311
A3,64,0.3764909889996501
A3,65,0.37356051908503796
A3,66,0.37069743797048843
A3,67,0.3678992015630434
A3,68,0.36516339824931254
A3,69,0.362487740154782
A3,70,0.359870055097862
A3,71,0.3573082791743336
A3,72,0.3548004499146348
A3,73,0.35234469996241335
A3,74,0.3499392512280475
A3,75,0.3475824094755296
A3,76,0.34527255930524464
A3,77,0.3430081594988759
A3,78,0.34078773869594364
A3,79,0.3386098913744101
A3,80,0.3364732741103936
A3,81,0.33437660209437403
A3,82,0.33231864588335214
A3,83,0.3302982283703063
A3,84,0.3283142219539735
A3,85,0.32636554589348354
A3,86,0.32445116383374917
A3,87,0.3225700814887347
A3,88,0.32072134447083306
A3,89,0.3189040362555886
A3,90,0.3171172762718963
A3,91,0.3153602181086436
A3,92,0.3136320478294886
A3,93,0.3119319823881583
A3,94,0.31025926813725
A3,95,0.3086131794240921
A3,96,0.3069930172677107
A3,97,0.3053981081114335
A3,98,0.303827802646062
A3,99,0.30228147469895283
A3,100,0.30075852018467714
A3,101,0.29925835611327645
A3,102,0.2977804196524063
A3,103,0.2963241672399467
A3,104,0.29488907374389683
A3,105,0.2934746316666079
A3,106,0.2920803503906139
A3,107,0.29070575546351124
A3,108,0.2893503879195287
A3,109,0.2880138036355703
A3,110,0.2866955727196931
A3,111,0.28539527893009886
A3,112,0.2841125191228553
A3,113,0.2828469027266906
A3,114,0.2815980512432979
A3,115,0.28036559777170234
A3,116,0.27914918655533544
A3,117,0.2779484725505386
A3,118,0.27676312101531886
A3,119,0.275592807117233
A3,120,0.27443721555936157
A3,121,0.27329604022339665
A3,122,0.2721689838289207
A3,123,0.27105575760802164
A3,124,0.26995608099442636
A3,125,0.2688696813264032
A3,126,0.2677962935627105
A3,127,0.2667356600109251
A3,128,0.2656875300675112
A3,129,0.2646516599690449
A3,130,0.26362781255402057
A3,131,0.2626157570347248
A3,132,0.2616152687786633
A3,133,0.2606261290990887
A3,134,0.2596481250541685
A3,135,0.2586810492543877
A3,136,0.25772469967778155
A3,137,0.2567788794926319
A3,138,0.2558433968872653
A3,139,0.2549180649066277
A3,140,0.25400270129531294
A3,141,0.25309712834674913
A3,142,0.252201172758257
A3,143,0.25131466549171594
A3,144,0.250437441639578
A3,145,0.24956934029599195
A3,146,0.24871020443280964
A3,147,0.24785988078025623
A3,148,0.24701821971205398
A3,149,0.2461850751348149
A3,150,0.2453603043815063
A3,151,0.24454376810881556
A3,152,0.24373533019825214
A3,153,0.24293485766081924
A3,154,0.24214222054510684
A3,155,0.24135729184866614
A3,156,0.24057994743251915
A3,157,0.2398100659386827
A3,158,0.23904752871057414
A3,159,0.2382922197161848
A3,160,0.23754402547390843
A3,161,0.23680283498091437
A3,162,0.23606853964396274
A3,163,0.23534103321256988
A3,164,0.2346202117144191
A3,165,0.2339059733929422
A3,166,0.23319821864697032
A3,167,0.23249684997239028
A3,168,0.23180177190571238
A3,169,0.23111289096948676
A3,170,0.23043011561949456
A3,171,0.2297533561936432
A3,172,0.22908252486250286
A3,173,0.22841753558142616
A3,174,0.22775830404418246
A3,175,0.22710474763806168
A3,176,0.2264567854003828
A3,177,0.22581433797636083
A3,178,0.22517732757828465
A3,179,0.22454567794594799
A3,180,0.22391931430830123
A3,181,0.22329816334627045
A3,182,0.222682153156703
A3,183,0.22207121321740578
A3,184,0.22146527435322866
A3,185,0.22086426870316359
